W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,,,,,,W,,,,,,,,W
W,,P,,p,,,"",W,,,,p,,,,W
W,,,,,,,,W,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,,,,,,W,,,,,,,,W
W,,,,p,,,,W,,,,p,,,,W
W,,,,,,,,W,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,,,,,,W,,,,,,,,W
W,,,,p,,T,,W,,T,,p,,,,W
W,,,,,,,,W,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,,,,,,W,,,,,,,,W
W,,,,p,,,,W,,,,p,,,,W
W,,,,,,,,W,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,,,,,,W,,,,,,,,W
W,,,,p,,,,W,,,,p,,,E,W
W,,,,,,,,W,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
